full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,103376,103376,16286,1776,1776,478,https://github.com/anthropics/claude-code
claude-code-best/claude-code,8922,8922,10658,862,862,867,https://github.com/claude-code-best/claude-code
affaan-m/everything-claude-code,132009,132009,19019,711,711,201,https://github.com/affaan-m/everything-claude-code
jarmuine/claude-code,1486,1486,4716,105,105,264,https://github.com/jarmuine/claude-code
shareAI-lab/learn-claude-code,46787,46787,7413,251,251,64,https://github.com/shareAI-lab/learn-claude-code
ChinaSiro/claude-code-sourcemap,7683,7683,13192,230,230,333,https://github.com/ChinaSiro/claude-code-sourcemap
hesreallyhim/awesome-claude-code,35644,35644,2733,83,83,19,https://github.com/hesreallyhim/awesome-claude-code
musistudio/claude-code-router,31187,31187,2442,52,52,4,https://github.com/musistudio/claude-code-router
RishabhK103/claude-code,31,31,7489,3,3,-43,https://github.com/RishabhK103/claude-code
pengchengneo/Claude-Code,820,820,1726,43,43,91,https://github.com/pengchengneo/Claude-Code
davila7/claude-code-templates,24023,24023,2346,18,18,6,https://github.com/davila7/claude-code-templates
NanmiCoder/claude-code-haha,3472,3472,4172,347,347,397,https://github.com/NanmiCoder/claude-code-haha
shanraisshan/claude-code-best-practice,30618,30618,2687,133,133,21,https://github.com/shanraisshan/claude-code-best-practice
codeaashu/claude-code,776,776,1369,118,118,196,https://github.com/codeaashu/claude-code
tanbiralam/claude-code,726,726,1303,83,83,172,https://github.com/tanbiralam/claude-code
Onewon/claude-code,139,139,1861,8,8,81,https://github.com/Onewon/claude-code
oboard/claude-code-rev,2242,2242,3069,103,103,118,https://github.com/oboard/claude-code-rev
VoltAgent/awesome-claude-code-subagents,15976,15976,1806,19,19,6,https://github.com/VoltAgent/awesome-claude-code-subagents
anthropics/claude-code-action,6824,6824,1652,7,7,3,https://github.com/anthropics/claude-code-action
yasasbanukaofficial/claude-code,456,456,966,159,159,344,https://github.com/yasasbanukaofficial/claude-code
ponponon/claude_code_src,1447,1447,2651,94,94,120,https://github.com/ponponon/claude_code_src
Piebald-AI/claude-code-system-prompts,8015,8015,1437,49,49,24,https://github.com/Piebald-AI/claude-code-system-prompts
diet103/claude-code-infrastructure-showcase,9398,9398,1201,3,3,0,https://github.com/diet103/claude-code-infrastructure-showcase
Donchitos/Claude-Code-Game-Studios,7864,7864,1171,43,43,14,https://github.com/Donchitos/Claude-Code-Game-Studios
frankbria/ralph-claude-code,8346,8346,610,6,6,2,https://github.com/frankbria/ralph-claude-code
beita6969/claude-code,241,241,534,9,9,12,https://github.com/beita6969/claude-code
hangsman/claude-code-source,647,647,1570,16,16,38,https://github.com/hangsman/claude-code-source
ykdojo/claude-code-tips,7057,7057,488,13,13,-1,https://github.com/ykdojo/claude-code-tips
ChrisWiles/claude-code-showcase,5679,5679,505,4,4,1,https://github.com/ChrisWiles/claude-code-showcase
pedrohcgs/claude-code-my-workflow,826,826,1578,2,2,5,https://github.com/pedrohcgs/claude-code-my-workflow
OneRedOak/claude-code-workflows,3764,3764,552,2,2,0,https://github.com/OneRedOak/claude-code-workflows
LING71671/Open-ClaudeCode,224,224,312,9,9,17,https://github.com/LING71671/Open-ClaudeCode
sickn33/antigravity-awesome-skills,29903,29903,4990,61,61,8,https://github.com/sickn33/antigravity-awesome-skills
1rgs/claude-code-proxy,3353,3353,445,7,7,1,https://github.com/1rgs/claude-code-proxy
anthropics/skills,108713,108713,12145,212,212,36,https://github.com/anthropics/skills
qwibitai/nanoclaw,26225,26225,10171,25,25,20,https://github.com/qwibitai/nanoclaw
777genius/claude-code-source-code,821,821,1101,17,17,3,https://github.com/777genius/claude-code-source-code
huangserva/claude-code-cli,412,412,1018,38,38,78,https://github.com/huangserva/claude-code-cli
disler/claude-code-hooks-mastery,3458,3458,589,3,3,1,https://github.com/disler/claude-code-hooks-mastery
zebbern/claude-code-guide,3787,3787,354,4,4,0,https://github.com/zebbern/claude-code-guide
Maciek-roboblog/Claude-Code-Usage-Monitor,7284,7284,357,8,8,1,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
kodu-ai/claude-coder,5282,5282,198,0,0,0,https://github.com/kodu-ai/claude-coder
chauncygu/collection-claude-code-source-code,849,849,1243,123,123,211,https://github.com/chauncygu/collection-claude-code-source-code
Yuyz0112/claude-code-reverse,2325,2325,392,1,1,0,https://github.com/Yuyz0112/claude-code-reverse
