full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,89376,89376,10512,2415,2415,1825,https://github.com/anthropics/claude-code
affaan-m/everything-claude-code,125739,125739,16961,1980,1980,644,https://github.com/affaan-m/everything-claude-code
nirholas/claude-code,4361,4361,5837,3776,3776,5127,https://github.com/nirholas/claude-code
Kuberwastaken/claude-code,2087,2087,3505,1907,1907,3137,https://github.com/Kuberwastaken/claude-code
shareAI-lab/learn-claude-code,45008,45008,6915,318,318,76,https://github.com/shareAI-lab/learn-claude-code
ChinaSiro/claude-code-sourcemap,4069,4069,7249,1604,1604,2918,https://github.com/ChinaSiro/claude-code-sourcemap
hesreallyhim/awesome-claude-code,35000,35000,2568,161,161,25,https://github.com/hesreallyhim/awesome-claude-code
musistudio/claude-code-router,30863,30863,2389,30,30,4,https://github.com/musistudio/claude-code-router
chatgptprojects/claude-code,1032,1032,1285,679,679,868,https://github.com/chatgptprojects/claude-code
davila7/claude-code-templates,23908,23908,2316,31,31,6,https://github.com/davila7/claude-code-templates
jarmuine/claude-code,381,381,1530,339,339,1291,https://github.com/jarmuine/claude-code
claude-code-best/claude-code,689,689,1041,689,689,1041,https://github.com/claude-code-best/claude-code
shanraisshan/claude-code-best-practice,28201,28201,2353,640,640,69,https://github.com/shanraisshan/claude-code-best-practice
sanbuphy/claude-code-source-code,2975,2975,5910,2218,2218,4618,https://github.com/sanbuphy/claude-code-source-code
VoltAgent/awesome-claude-code-subagents,15794,15794,1773,41,41,3,https://github.com/VoltAgent/awesome-claude-code-subagents
anthropics/claude-code-action,6770,6770,1623,13,13,6,https://github.com/anthropics/claude-code-action
pengchengneo/Claude-Code,416,416,808,244,244,520,https://github.com/pengchengneo/Claude-Code
instructkr/claw-code,46687,46687,55221,46687,46687,55221,https://github.com/instructkr/claw-code
diet103/claude-code-infrastructure-showcase,9382,9382,1200,4,4,-1,https://github.com/diet103/claude-code-infrastructure-showcase
Donchitos/Claude-Code-Game-Studios,7649,7649,1121,34,34,7,https://github.com/Donchitos/Claude-Code-Game-Studios
Piebald-AI/claude-code-system-prompts,7349,7349,1072,156,156,99,https://github.com/Piebald-AI/claude-code-system-prompts
frankbria/ralph-claude-code,8310,8310,603,15,15,0,https://github.com/frankbria/ralph-claude-code
ykdojo/claude-code-tips,6991,6991,481,23,23,1,https://github.com/ykdojo/claude-code-tips
oboard/claude-code-rev,798,798,1214,564,564,902,https://github.com/oboard/claude-code-rev
